系统/子系统,实现状态,证据文件,风险等级,负责专家
M2/UGC 创作闭环 MVP,implemented,engine/src/xkx/orchestrator/loop.py; engine/src/xkx/content_gen/; engine/src/xkx/workbench/,low,游戏制作人/范围管理; UGC 平台专家
ECS SparseSet 存储,implemented,engine/src/xkx/runtime/ecs.py,low,游戏引擎/ECS 专家; 游戏服务器架构师
System 基类与注册表,partial,engine/src/xkx/runtime/systems.py; engine/src/xkx/runtime/engine.py,medium,游戏引擎/ECS 专家; 游戏服务器架构师
tick 调度器与非均匀 tick,partial,engine/src/xkx/runtime/engine.py; engine/src/xkx/runtime/profiler.py,medium,游戏引擎/ECS 专家; 游戏服务器架构师
1000 实体 System tick 压测,implemented,engine/tools/load_test.py; tests/test_load_test.py,low,游戏服务器架构师
100 并发命令对 tick 的影响,missing,engine/tools/load_test.py 未注入命令,high,游戏服务器架构师; 游戏制作人/范围管理
1000 真实 WS 连接压测,missing,无专项 WS 压力测试,high,游戏服务器架构师
combat-only 确定性边界,implemented,engine/src/xkx/combat/resolve_attack.py; combat/replay.py; combat/rng.py,low,游戏引擎/ECS 专家; MUD 玩法与文化专家
do_attack 七步管线,partial,engine/src/xkx/combat/resolve_attack.py; combat/system.py,medium,MUD 玩法与文化专家; 游戏引擎/ECS 专家
Command 8 段中间件管线,implemented,engine/src/xkx/runtime/commands.py; middleware/s0_flood_check.py~s7_execute_audit.py,low,游戏服务器架构师; MUD 玩法与文化专家
command 事件接入层1,missing,engine/src/xkx/dsl/layer1.py 已存在 evaluate_command 但 commands.py 未调用,high,DSL 规则引擎专家
PronounContext 三元组,partial,engine/src/xkx/runtime/pronoun.py; runtime/title.py,medium,MUD 玩法与文化专家; 游戏服务器架构师
技能三层组件,implemented,engine/src/xkx/runtime/components.py; runtime/skill.py,low,MUD 玩法与文化专家
SkillData 招式表与 perform/exert,missing,engine/src/xkx/runtime/skill.py _SKILL_DATA_REGISTRY 为空 stub; combat/context.py,high,MUD 玩法与文化专家; 游戏引擎/ECS 专家
21 门派 FamilyBonus / class 称号表,partial,engine/src/xkx/themes/wuxia.py 仅注册武当派; runtime/family.py,high,MUD 玩法与文化专家; UGC 平台专家
NPC heart_beat / random_move / chat / attitude,partial,engine/src/xkx/runtime/components.py; runtime/auto_fight.py; runtime/world.py,high,MUD 玩法与文化专家; 游戏制作人/范围管理
灵魂系统 die/unconcious/reincarnate,partial,engine/src/xkx/runtime/death.py; runtime/governance.py,high,MUD 玩法与文化专家; 游戏制作人/范围管理
